artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Drake,3TVXtAsR1Inumwj472S9r4,"Hold On, We're Going Home",14Rcq31SafFBHNEwXrtR2B,Nothing Was The Same (Deluxe),2013-01-01,2,False,227.88,"{'danceability': 0.776, 'energy': 0.413, 'key': 6, 'loudness': -7.438, 'mode': 0, 'speechiness': 0.0952, 'acousticness': 0.00415, 'instrumentalness': 2.68e-05, 'liveness': 0.0724, 'valence': 0.287, 'tempo': 100.003, 'type': 'audio_features', 'id': '14Rcq31SafFBHNEwXrtR2B', 'uri': 'spotify:track:14Rcq31SafFBHNEwXrtR2B', 'track_href': 'https://api.spotify.com/v1/tracks/14Rcq31SafFBHNEwXrtR2B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/14Rcq31SafFBHNEwXrtR2B', 'duration_ms': 227880, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,New Slaves,4cAgkb0ifwn0FSHGXnr4F6,Yeezus,2013-06-18,66,True,256.093,"{'danceability': 0.506, 'energy': 0.59, 'key': 1, 'loudness': -4.322, 'mode': 1, 'speechiness': 0.076, 'acousticness': 0.165, 'instrumentalness': 1.09e-05, 'liveness': 0.096, 'valence': 0.359, 'tempo': 141.099, 'type': 'audio_features', 'id': '4cAgkb0ifwn0FSHGXnr4F6', 'uri': 'spotify:track:4cAgkb0ifwn0FSHGXnr4F6', 'track_href': 'https://api.spotify.com/v1/tracks/4cAgkb0ifwn0FSHGXnr4F6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4cAgkb0ifwn0FSHGXnr4F6', 'duration_ms': 256093, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Hannah Hunt,3t87C08isN6yw2DnWOorLm,Modern Vampires of the City,2013-05-27,0,False,237.973,"{'danceability': 0.345, 'energy': 0.313, 'key': 4, 'loudness': -10.098, 'mode': 1, 'speechiness': 0.0681, 'acousticness': 0.717, 'instrumentalness': 0.000822, 'liveness': 0.1, 'valence': 0.164, 'tempo': 207.969, 'type': 'audio_features', 'id': '3t87C08isN6yw2DnWOorLm', 'uri': 'spotify:track:3t87C08isN6yw2DnWOorLm', 'track_href': 'https://api.spotify.com/v1/tracks/3t87C08isN6yw2DnWOorLm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3t87C08isN6yw2DnWOorLm', 'duration_ms': 237973, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Reflektor,2LWMF10STZqYY9a3YqBiOG,Reflektor,2013-01-01,0,False,453.949,"{'danceability': 0.589, 'energy': 0.72, 'key': 11, 'loudness': -8.33, 'mode': 0, 'speechiness': 0.0309, 'acousticness': 0.0445, 'instrumentalness': 0.0142, 'liveness': 0.364, 'valence': 0.648, 'tempo': 111.602, 'type': 'audio_features', 'id': '2LWMF10STZqYY9a3YqBiOG', 'uri': 'spotify:track:2LWMF10STZqYY9a3YqBiOG', 'track_href': 'https://api.spotify.com/v1/tracks/2LWMF10STZqYY9a3YqBiOG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2LWMF10STZqYY9a3YqBiOG', 'duration_ms': 453949, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Ciara,2NdeV5rLm47xAvogXrYhJX,Body Party,1OPRqekUHVWzzRNZnROTkk,Ciara,2013-07-09,23,False,234.053,"{'danceability': 0.594, 'energy': 0.573, 'key': 2, 'loudness': -6.304, 'mode': 1, 'speechiness': 0.0571, 'acousticness': 0.0179, 'instrumentalness': 0, 'liveness': 0.629, 'valence': 0.115, 'tempo': 134.185, 'type': 'audio_features', 'id': '1OPRqekUHVWzzRNZnROTkk', 'uri': 'spotify:track:1OPRqekUHVWzzRNZnROTkk', 'track_href': 'https://api.spotify.com/v1/tracks/1OPRqekUHVWzzRNZnROTkk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1OPRqekUHVWzzRNZnROTkk', 'duration_ms': 234053, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
HAIM,4Ui2kfOqGujY81UcPrb5KE,The Wire,6golelYKuy85o3u0cxIxFK,Days Are Gone,2013-09-30,59,False,245.293,"{'danceability': 0.547, 'energy': 0.635, 'key': 2, 'loudness': -5.569, 'mode': 1, 'speechiness': 0.137, 'acousticness': 0.0127, 'instrumentalness': 5.01e-06, 'liveness': 0.0585, 'valence': 0.525, 'tempo': 113.678, 'type': 'audio_features', 'id': '6golelYKuy85o3u0cxIxFK', 'uri': 'spotify:track:6golelYKuy85o3u0cxIxFK', 'track_href': 'https://api.spotify.com/v1/tracks/6golelYKuy85o3u0cxIxFK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6golelYKuy85o3u0cxIxFK', 'duration_ms': 245293, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Disclosure,6nS5roXSAGhTGr34W6n7Et,Latch,1BltsyC5W3SAABdxyrDXwi,Settle,2013-01-01,0,False,255.631,"{'danceability': 0.503, 'energy': 0.727, 'key': 1, 'loudness': -5.456, 'mode': 1, 'speechiness': 0.167, 'acousticness': 0.0159, 'instrumentalness': 9.45e-05, 'liveness': 0.0895, 'valence': 0.521, 'tempo': 121.985, 'type': 'audio_features', 'id': '1BltsyC5W3SAABdxyrDXwi', 'uri': 'spotify:track:1BltsyC5W3SAABdxyrDXwi', 'track_href': 'https://api.spotify.com/v1/tracks/1BltsyC5W3SAABdxyrDXwi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1BltsyC5W3SAABdxyrDXwi', 'duration_ms': 255632, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams and Nile Rodgers),69kOkLUCkxIZYexIgSG8rq,Random Access Memories,2013-05-20,75,False,369.626,"{'danceability': 0.81, 'energy': 0.793, 'key': 6, 'loudness': -9.404, 'mode': 0, 'speechiness': 0.0403, 'acousticness': 0.0378, 'instrumentalness': 1.77e-06, 'liveness': 0.072, 'valence': 0.863, 'tempo': 116.05, 'type': 'audio_features', 'id': '69kOkLUCkxIZYexIgSG8rq', 'uri': 'spotify:track:69kOkLUCkxIZYexIgSG8rq', 'track_href': 'https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/69kOkLUCkxIZYexIgSG8rq', 'duration_ms': 369627, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Deafheaven,4XpPveeg7RuYS3CgLo75t9,Dream House,6l3A2EWZSOA8LTMmzRCyD3,Sunbather,2013-05-28,46,False,554.573,"{'danceability': 0.1, 'energy': 0.804, 'key': 7, 'loudness': -4.669, 'mode': 1, 'speechiness': 0.0768, 'acousticness': 6.84e-06, 'instrumentalness': 0.916, 'liveness': 0.384, 'valence': 0.0954, 'tempo': 82.211, 'type': 'audio_features', 'id': '6l3A2EWZSOA8LTMmzRCyD3', 'uri': 'spotify:track:6l3A2EWZSOA8LTMmzRCyD3', 'track_href': 'https://api.spotify.com/v1/tracks/6l3A2EWZSOA8LTMmzRCyD3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6l3A2EWZSOA8LTMmzRCyD3', 'duration_ms': 554573, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Autre Ne Veut,7MC5zmK3iZHzPqGZEVSROe,Play by Play,59ZIrPBaCOmLrweJOGHZOD,Anxiety,2013,0,False,313.706,"{'danceability': 0.35, 'energy': 0.844, 'key': 1, 'loudness': -4.161, 'mode': 0, 'speechiness': 0.0438, 'acousticness': 0.03, 'instrumentalness': 0, 'liveness': 0.177, 'valence': 0.104, 'tempo': 114.64, 'type': 'audio_features', 'id': '59ZIrPBaCOmLrweJOGHZOD', 'uri': 'spotify:track:59ZIrPBaCOmLrweJOGHZOD', 'track_href': 'https://api.spotify.com/v1/tracks/59ZIrPBaCOmLrweJOGHZOD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59ZIrPBaCOmLrweJOGHZOD', 'duration_ms': 313707, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Blood On The Leaves,42GcjriRK6srwHkfbkBqVl,Yeezus,2013-06-18,65,True,359.8,"{'danceability': 0.397, 'energy': 0.69, 'key': 2, 'loudness': -4.108, 'mode': 0, 'speechiness': 0.195, 'acousticness': 0.395, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.36, 'tempo': 172.073, 'type': 'audio_features', 'id': '42GcjriRK6srwHkfbkBqVl', 'uri': 'spotify:track:42GcjriRK6srwHkfbkBqVl', 'track_href': 'https://api.spotify.com/v1/tracks/42GcjriRK6srwHkfbkBqVl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/42GcjriRK6srwHkfbkBqVl', 'duration_ms': 359800, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Sky Ferreira,7pyhre5oEEFMqcgMEvJY7q,I Blame Myself,0i62I5HJlzIVu2FALBmBPx,"Night Time, My Time",2013-01-01,40,False,237.04,"{'danceability': 0.692, 'energy': 0.739, 'key': 1, 'loudness': -4.122, 'mode': 1, 'speechiness': 0.0374, 'acousticness': 0.35, 'instrumentalness': 0, 'liveness': 0.32, 'valence': 0.819, 'tempo': 115.014, 'type': 'audio_features', 'id': '0i62I5HJlzIVu2FALBmBPx', 'uri': 'spotify:track:0i62I5HJlzIVu2FALBmBPx', 'track_href': 'https://api.spotify.com/v1/tracks/0i62I5HJlzIVu2FALBmBPx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0i62I5HJlzIVu2FALBmBPx', 'duration_ms': 237040, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,Sunday (feat. Frank Ocean),0fAehaneUJdlSlWXYe1KZp,Doris,2013-08-16,62,True,205.8,"{'danceability': 0.716, 'energy': 0.568, 'key': 2, 'loudness': -8.904, 'mode': 1, 'speechiness': 0.212, 'acousticness': 0.278, 'instrumentalness': 1.98e-06, 'liveness': 0.385, 'valence': 0.905, 'tempo': 136.894, 'type': 'audio_features', 'id': '0fAehaneUJdlSlWXYe1KZp', 'uri': 'spotify:track:0fAehaneUJdlSlWXYe1KZp', 'track_href': 'https://api.spotify.com/v1/tracks/0fAehaneUJdlSlWXYe1KZp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0fAehaneUJdlSlWXYe1KZp', 'duration_ms': 205800, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Step,78J9MBkAoqfvyeEpQKJDzD,Modern Vampires of the City,2013-05-27,0,False,251.626,"{'danceability': 0.624, 'energy': 0.724, 'key': 10, 'loudness': -7.113, 'mode': 1, 'speechiness': 0.101, 'acousticness': 0.591, 'instrumentalness': 7.79e-06, 'liveness': 0.101, 'valence': 0.624, 'tempo': 78.008, 'type': 'audio_features', 'id': '78J9MBkAoqfvyeEpQKJDzD', 'uri': 'spotify:track:78J9MBkAoqfvyeEpQKJDzD', 'track_href': 'https://api.spotify.com/v1/tracks/78J9MBkAoqfvyeEpQKJDzD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/78J9MBkAoqfvyeEpQKJDzD', 'duration_ms': 251627, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
SOPHIE,5a2w2tgpLwv26BYJf2qYwu,Bipp,5Q0YoqbVUvdtwJ36ctVuic,Bipp / Elle - Single,2013-06-17,0,False,224.142,"{'danceability': 0.744, 'energy': 0.698, 'key': 1, 'loudness': -3.987, 'mode': 0, 'speechiness': 0.164, 'acousticness': 0.0959, 'instrumentalness': 0.0972, 'liveness': 0.129, 'valence': 0.337, 'tempo': 82.718, 'type': 'audio_features', 'id': '5Q0YoqbVUvdtwJ36ctVuic', 'uri': 'spotify:track:5Q0YoqbVUvdtwJ36ctVuic', 'track_href': 'https://api.spotify.com/v1/tracks/5Q0YoqbVUvdtwJ36ctVuic', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Q0YoqbVUvdtwJ36ctVuic', 'duration_ms': 224143, 'time_signature': 5}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Blood Orange,6LEeAFiJF8OuPx747e1wxR,You're Not Good Enough,3UNPA9XgUNAStNazmC67yF,Cupid Deluxe,2013-11-18,0,False,261.36,"{'danceability': 0.74, 'energy': 0.798, 'key': 0, 'loudness': -6.55, 'mode': 1, 'speechiness': 0.146, 'acousticness': 0.189, 'instrumentalness': 0.00128, 'liveness': 0.305, 'valence': 0.571, 'tempo': 119.964, 'type': 'audio_features', 'id': '3UNPA9XgUNAStNazmC67yF', 'uri': 'spotify:track:3UNPA9XgUNAStNazmC67yF', 'track_href': 'https://api.spotify.com/v1/tracks/3UNPA9XgUNAStNazmC67yF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3UNPA9XgUNAStNazmC67yF', 'duration_ms': 261360, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Drake,3TVXtAsR1Inumwj472S9r4,Worst Behavior,6oF3Es1YzzmLKjGBfThUvD,Nothing Was The Same (Deluxe),2013-01-01,0,True,270.186,"{'danceability': 0.779, 'energy': 0.799, 'key': 9, 'loudness': -6.359, 'mode': 1, 'speechiness': 0.15, 'acousticness': 0.158, 'instrumentalness': 0, 'liveness': 0.209, 'valence': 0.414, 'tempo': 109.944, 'type': 'audio_features', 'id': '6oF3Es1YzzmLKjGBfThUvD', 'uri': 'spotify:track:6oF3Es1YzzmLKjGBfThUvD', 'track_href': 'https://api.spotify.com/v1/tracks/6oF3Es1YzzmLKjGBfThUvD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6oF3Es1YzzmLKjGBfThUvD', 'duration_ms': 270187, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
The Knife,7eQZTqEMozBcuSubfu52i4,Full of Fire,5IoLwIo6AQNR3nCbTlwyCD,Shaking the Habitual,2013-04-05,0,False,556.506,"{'danceability': 0.62, 'energy': 0.878, 'key': 9, 'loudness': -5.814, 'mode': 1, 'speechiness': 0.0454, 'acousticness': 0.00517, 'instrumentalness': 0.46, 'liveness': 0.0429, 'valence': 0.559, 'tempo': 143.001, 'type': 'audio_features', 'id': '5IoLwIo6AQNR3nCbTlwyCD', 'uri': 'spotify:track:5IoLwIo6AQNR3nCbTlwyCD', 'track_href': 'https://api.spotify.com/v1/tracks/5IoLwIo6AQNR3nCbTlwyCD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5IoLwIo6AQNR3nCbTlwyCD', 'duration_ms': 556507, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Wakin On A Pretty Day,19shiCDzoSq6cqZxZFx1EM,Wakin On A Pretty Daze [Deluxe Daze (Post Haze)],2013-11-18,0,False,570.693,"{'danceability': 0.38, 'energy': 0.777, 'key': 11, 'loudness': -8.201, 'mode': 1, 'speechiness': 0.0356, 'acousticness': 0.0484, 'instrumentalness': 0.749, 'liveness': 0.262, 'valence': 0.519, 'tempo': 102.111, 'type': 'audio_features', 'id': '19shiCDzoSq6cqZxZFx1EM', 'uri': 'spotify:track:19shiCDzoSq6cqZxZFx1EM', 'track_href': 'https://api.spotify.com/v1/tracks/19shiCDzoSq6cqZxZFx1EM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/19shiCDzoSq6cqZxZFx1EM', 'duration_ms': 570693, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
James Blake,53KwLdlmrlCelAZMaLVZqU,Retrograde,2IqjKEBiz0CdLKdkXhxw84,Overgrown,2013-04-08,64,False,223.6,"{'danceability': 0.533, 'energy': 0.251, 'key': 7, 'loudness': -11.283, 'mode': 0, 'speechiness': 0.0372, 'acousticness': 0.873, 'instrumentalness': 0.104, 'liveness': 0.134, 'valence': 0.186, 'tempo': 77.503, 'type': 'audio_features', 'id': '2IqjKEBiz0CdLKdkXhxw84', 'uri': 'spotify:track:2IqjKEBiz0CdLKdkXhxw84', 'track_href': 'https://api.spotify.com/v1/tracks/2IqjKEBiz0CdLKdkXhxw84', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2IqjKEBiz0CdLKdkXhxw84', 'duration_ms': 223600, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Majical Cloudz,4BEYBN6NCPrFk3sOLMTby3,Childhood's End,6ddqBHpdgaM8nWYZZDdTqP,Impersonator,2013-05-20,0,False,228.535,"{'danceability': 0.372, 'energy': 0.413, 'key': 4, 'loudness': -9.512, 'mode': 0, 'speechiness': 0.0379, 'acousticness': 0.409, 'instrumentalness': 0.528, 'liveness': 0.106, 'valence': 0.16, 'tempo': 126.607, 'type': 'audio_features', 'id': '6ddqBHpdgaM8nWYZZDdTqP', 'uri': 'spotify:track:6ddqBHpdgaM8nWYZZDdTqP', 'track_href': 'https://api.spotify.com/v1/tracks/6ddqBHpdgaM8nWYZZDdTqP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ddqBHpdgaM8nWYZZDdTqP', 'duration_ms': 228535, 'time_signature': 3}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Shabba (feat. A$AP Rocky),7GZbvC8UoLPMK0Mt0K1Uui,Trap Lord,2013-08-19,24,False,275.866,"{'danceability': 0.855, 'energy': 0.737, 'key': 9, 'loudness': -5.942, 'mode': 1, 'speechiness': 0.107, 'acousticness': 0.103, 'instrumentalness': 0, 'liveness': 0.251, 'valence': 0.504, 'tempo': 119.994, 'type': 'audio_features', 'id': '7GZbvC8UoLPMK0Mt0K1Uui', 'uri': 'spotify:track:7GZbvC8UoLPMK0Mt0K1Uui', 'track_href': 'https://api.spotify.com/v1/tracks/7GZbvC8UoLPMK0Mt0K1Uui', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7GZbvC8UoLPMK0Mt0K1Uui', 'duration_ms': 275867, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Danny Brown,7aA592KWirLsnfb5ulGWvU,Kush Coma (feat. A$AP Rocky & Zelooperz),0FC0A4pl5mGYaS2JporIuU,Old,2013-10-08,45,True,281.011,"{'danceability': 0.574, 'energy': 0.965, 'key': 1, 'loudness': -4.643, 'mode': 1, 'speechiness': 0.116, 'acousticness': 0.00501, 'instrumentalness': 0, 'liveness': 0.188, 'valence': 0.301, 'tempo': 130.776, 'type': 'audio_features', 'id': '0FC0A4pl5mGYaS2JporIuU', 'uri': 'spotify:track:0FC0A4pl5mGYaS2JporIuU', 'track_href': 'https://api.spotify.com/v1/tracks/0FC0A4pl5mGYaS2JporIuU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0FC0A4pl5mGYaS2JporIuU', 'duration_ms': 281012, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,The Mother We Share,3KMImfwJj3KXa6M3QRYsqH,The Bones Of What You Believe,2013-09-24,0,True,191.266,"{'danceability': 0.463, 'energy': 0.715, 'key': 1, 'loudness': -5.111, 'mode': 1, 'speechiness': 0.0304, 'acousticness': 0.0398, 'instrumentalness': 3.92e-06, 'liveness': 0.126, 'valence': 0.335, 'tempo': 173.854, 'type': 'audio_features', 'id': '3KMImfwJj3KXa6M3QRYsqH', 'uri': 'spotify:track:3KMImfwJj3KXa6M3QRYsqH', 'track_href': 'https://api.spotify.com/v1/tracks/3KMImfwJj3KXa6M3QRYsqH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3KMImfwJj3KXa6M3QRYsqH', 'duration_ms': 191267, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Kingdom,1ofhNTFMyFVSs62cJWG0oj,Bank Head,6ZqTDO32h4gTjqerBtc6Fd,Saint Heron,2013-11-11,14,False,257.146,"{'danceability': 0.696, 'energy': 0.82, 'key': 9, 'loudness': -6.609, 'mode': 1, 'speechiness': 0.0773, 'acousticness': 0.165, 'instrumentalness': 0.0135, 'liveness': 0.149, 'valence': 0.579, 'tempo': 134.97, 'type': 'audio_features', 'id': '6ZqTDO32h4gTjqerBtc6Fd', 'uri': 'spotify:track:6ZqTDO32h4gTjqerBtc6Fd', 'track_href': 'https://api.spotify.com/v1/tracks/6ZqTDO32h4gTjqerBtc6Fd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ZqTDO32h4gTjqerBtc6Fd', 'duration_ms': 257147, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Savages,1WFsBUAgQmrGQQEUyFKS60,She Will,345yzi3WeMTpMTl3Nyvjjk,Silence Yourself,2013-05-06,0,False,207.066,"{'danceability': 0.376, 'energy': 0.913, 'key': 7, 'loudness': -4.709, 'mode': 1, 'speechiness': 0.0563, 'acousticness': 0.000585, 'instrumentalness': 0.329, 'liveness': 0.185, 'valence': 0.404, 'tempo': 154.808, 'type': 'audio_features', 'id': '345yzi3WeMTpMTl3Nyvjjk', 'uri': 'spotify:track:345yzi3WeMTpMTl3Nyvjjk', 'track_href': 'https://api.spotify.com/v1/tracks/345yzi3WeMTpMTl3Nyvjjk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/345yzi3WeMTpMTl3Nyvjjk', 'duration_ms': 207067, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Touch (feat. Paul Williams),7oaEjLP2dTJLJsITbAxTOz,Random Access Memories,2013-05-20,58,False,498.96,"{'danceability': 0.29, 'energy': 0.412, 'key': 6, 'loudness': -12.659, 'mode': 0, 'speechiness': 0.0458, 'acousticness': 0.477, 'instrumentalness': 0.0839, 'liveness': 0.079, 'valence': 0.12, 'tempo': 90.539, 'type': 'audio_features', 'id': '7oaEjLP2dTJLJsITbAxTOz', 'uri': 'spotify:track:7oaEjLP2dTJLJsITbAxTOz', 'track_href': 'https://api.spotify.com/v1/tracks/7oaEjLP2dTJLJsITbAxTOz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7oaEjLP2dTJLJsITbAxTOz', 'duration_ms': 498960, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
Lorde,163tK9Wjr9P9DmM0AVK7lm,Royals,7BFI9QZPQKgYuR2HhDgwbG,Pure Heroine (Extended),2013-01-01,0,False,190.185,"{'danceability': 0.674, 'energy': 0.428, 'key': 7, 'loudness': -9.504, 'mode': 1, 'speechiness': 0.122, 'acousticness': 0.121, 'instrumentalness': 0, 'liveness': 0.132, 'valence': 0.337, 'tempo': 84.878, 'type': 'audio_features', 'id': '7BFI9QZPQKgYuR2HhDgwbG', 'uri': 'spotify:track:7BFI9QZPQKgYuR2HhDgwbG', 'track_href': 'https://api.spotify.com/v1/tracks/7BFI9QZPQKgYuR2HhDgwbG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7BFI9QZPQKgYuR2HhDgwbG', 'duration_ms': 190185, 'time_signature': 4}",The Top 100 Tracks of 2013,Top 100 Tracks of 2013
